name,state,orig_county,established,discontinued,continuous,stamp_index,duration,latitude,longitude,state_full_name
LONETREE,MT,Chouteau,1914.0,1915.0,True,6.0,1.0,47.54164,-110.2841,Montana
LONG,AK,,1913.0,1932.0,True,5.0,19.0,64.40361,-155.4972,Alaska
LONG LAKE,WA,Lincoln,1911.0,1916.0,True,5.0,5.0,47.836,-117.8488,Washington
LONGVALE,CA,Mendocino,1911.0,1958.0,True,1.0,47.0,39.55516,-123.4297,California
LONGVIEW,CO,Jefferson,1911.0,1937.0,True,2.0,26.0,39.41749,-105.1939,Colorado
LONGVIEW,WA,Benton,1911.0,1922.0,True,5.0,11.0,45.92902,-119.4134,Washington
LORAINE,CA,Kern,1912.0,1926.0,False,5.0,14.0,35.30468,-118.4368,California
LORENZO,NE,Cheyenne,1916.0,1933.0,True,2.0,17.0,41.04749,-103.068,Nebraska
LOS ANGELES,TX,La Salle,1923.0,1980.0,True,1.0,57.0,28.46582,-99.00003,Texas
LOS BRAZOS,NM,Rio Arriba,1922.0,1925.0,True,4.0,3.0,36.7514,-106.5614,New Mexico
LOS CHAVES,NM,Valencia,1929.0,1934.0,True,3.0,5.0,34.72672,-106.7536,New Mexico
LOS SAENZ,TX,Starr,1929.0,1957.0,True,1.0,28.0,26.40506,-99.01586,Texas
LOS VIGILES,NM,San Miguel,1917.0,1924.0,True,4.0,7.0,35.64949,-105.2636,New Mexico
LOST CREEK,WA,Pend Oreille,1911.0,1943.0,True,2.0,32.0,48.60936,-117.3636,Washington
LOST LAKE,MT,Phillips,1915.0,1932.0,True,3.0,17.0,48.64167,-108.2785,Montana
LOST RIVER,AK,,1951.0,1955.0,True,3.0,4.0,59.46336,-139.6211,Alaska
LOTTA,TX,Harrison,1915.0,1915.0,True,6.0,0.0,32.5782,-94.10408,Texas
LOURDES,NM,San Miguel,1918.0,1966.0,True,1.0,48.0,35.45782,-105.1458,New Mexico
LOURWOOD,TX,Lipscomb,1918.0,1919.0,True,6.0,1.0,36.44614,-100.3249,Texas
LOUSCOT,MT,Rosebud,1917.0,1917.0,True,7.0,0.0,46.55556,-106.3311,Montana
LOVEJOY,MT,Phillips,1910.0,1933.0,True,2.0,23.0,48.67639,-107.9709,Montana
LOVELL,CA,Tulare,1912.0,1913.0,True,7.0,1.0,36.50156,-119.2886,California
LOWER BRIDGE,OR,Jefferson,1920.0,1926.0,True,5.0,6.0,44.55678,-121.6212,Oregon
LOWER ROCHESTER,NV,Pershing,1915.0,1943.0,True,5.0,28.0,40.28574,-118.201,Nevada
LOWRANE,MT,Phillips,1921.0,1937.0,True,2.0,16.0,48.93835,-107.8223,Montana
LOYD,CO,Moffat,1929.0,1955.0,True,1.0,26.0,40.30358,-107.7048,Colorado
LOZEAU,MT,Mineral,1921.0,1963.0,False,1.0,42.0,47.11742,-114.7801,Montana
LUCERNE,SD,Haakon,1913.0,1933.0,True,2.0,20.0,44.23915,-101.5263,South Dakota
